Channel,Impressions,Clicks,Conversions,Cost,Revenue
Organic,52000,4100,620,3200,27000
Paid Ads,88000,6700,540,14000,33000
Social Media,64000,4800,390,8000,20000
Email,31000,2600,720,2100,24000
Organic,50000,4000,600,3000,25000
Paid Ads,90000,7000,560,15000,35000
Social Media,60000,4500,360,7000,19000
Email,30000,2400,690,2000,22000
Organic,58000,4300,650,3400,28000
Paid Ads,95000,7200,580,16000,36000
Social Media,67000,5000,420,8500,21000
Email,35000,2800,750,2300,26000
Organic,54000,4200,610,3100,26500
Paid Ads,87000,6600,530,13800,32500
Social Media,62000,4700,380,7800,19500
Email,33000,2700,710,2200,23500
Organic,56000,4350,640,3300,27500
Paid Ads,92000,7100,600,15500,37000
Social Media,65000,4900,400,8200,20500
Email,34000,2900,760,2400,26500
Organic,53000,4150,630,3150,26800
Paid Ads,89000,6800,550,14500,34000
Social Media,61000,4600,370,7900,19800
Email,32000,2550,700,2050,22500
Organic,59000,4400,660,3500,29000
Paid Ads,96000,7300,590,16500,38000
Social Media,68000,5100,430,8600,21500
Email,36000,3000,780,2500,27000
Organic,55000,4250,615,3250,27200
Paid Ads,91000,7050,570,15000,35500
